Frame,Tracker,Is_inside
107,KCF,True
107,MIL,True
107,BOOSTING,True
107,MEDIANFLOW,True
107,MOSSE,True
108,Fused,True
108,CSRT,True
108,KCF,True
108,MIL,True
108,BOOSTING,True
108,MEDIANFLOW,True
108,MOSSE,True
109,Fused,True
109,CSRT,True
109,KCF,True
109,MIL,True
109,BOOSTING,True
109,MEDIANFLOW,True
109,MOSSE,True
110,Fused,True
110,CSRT,True
110,KCF,True
110,MIL,True
110,BOOSTING,True
110,MEDIANFLOW,True
110,MOSSE,True
111,Fused,True
111,CSRT,True
111,KCF,True
111,MIL,True
111,BOOSTING,True
111,MEDIANFLOW,True
111,MOSSE,True
112,Fused,True
112,CSRT,True
112,KCF,True
112,MIL,True
112,BOOSTING,True
112,MEDIANFLOW,True
112,MOSSE,True
113,Fused,True
113,CSRT,True
113,KCF,True
113,MIL,True
113,BOOSTING,True
113,MEDIANFLOW,True
113,MOSSE,True
114,Fused,True
114,CSRT,True
114,KCF,True
114,MIL,True
114,BOOSTING,True
114,MEDIANFLOW,True
114,MOSSE,True
115,Fused,True
115,CSRT,True
115,KCF,True
115,MIL,True
115,BOOSTING,True
115,MEDIANFLOW,True
115,MOSSE,True
116,Fused,True
116,CSRT,True
116,KCF,True
116,MIL,True
116,BOOSTING,True
116,MEDIANFLOW,True
116,MOSSE,True
117,Fused,True
117,CSRT,True
117,KCF,True
117,MIL,True
117,BOOSTING,True
117,MEDIANFLOW,True
117,MOSSE,True
118,Fused,True
118,CSRT,True
118,KCF,True
118,MIL,True
118,BOOSTING,True
118,MEDIANFLOW,True
118,MOSSE,True
119,Fused,True
119,CSRT,True
119,KCF,True
119,MIL,True
119,BOOSTING,True
119,MEDIANFLOW,True
119,MOSSE,True
120,Fused,True
120,CSRT,True
120,KCF,True
120,MIL,True
120,BOOSTING,True
120,MEDIANFLOW,True
120,MOSSE,True
121,Fused,True
121,CSRT,True
121,KCF,True
121,MIL,True
121,BOOSTING,True
121,MEDIANFLOW,True
121,MOSSE,True
122,Fused,True
122,CSRT,True
122,KCF,True
122,MIL,True
122,BOOSTING,True
122,MEDIANFLOW,True
122,MOSSE,True
123,Fused,True
123,CSRT,True
123,KCF,True
123,MIL,True
123,BOOSTING,True
123,MEDIANFLOW,True
123,MOSSE,True
124,Fused,True
124,CSRT,True
124,KCF,True
124,MIL,True
124,BOOSTING,True
124,MEDIANFLOW,True
124,MOSSE,True
125,Fused,True
125,CSRT,True
125,KCF,True
125,MIL,True
125,BOOSTING,True
125,MEDIANFLOW,True
125,MOSSE,True
126,Fused,True
126,CSRT,True
126,KCF,True
126,MIL,True
126,BOOSTING,True
126,MEDIANFLOW,True
126,MOSSE,True
127,Fused,True
127,CSRT,True
127,KCF,True
127,MIL,True
127,BOOSTING,True
127,MEDIANFLOW,True
127,MOSSE,True
128,Fused,True
128,CSRT,True
128,KCF,True
128,MIL,True
128,BOOSTING,True
128,MEDIANFLOW,True
128,MOSSE,True
129,Fused,True
129,CSRT,True
129,KCF,True
129,MIL,True
129,BOOSTING,True
129,MEDIANFLOW,True
129,MOSSE,True
130,Fused,True
130,CSRT,True
130,KCF,True
130,MIL,True
130,BOOSTING,True
130,MEDIANFLOW,True
130,MOSSE,True
131,Fused,True
131,CSRT,True
131,KCF,True
131,MIL,True
131,BOOSTING,True
131,MEDIANFLOW,True
131,MOSSE,True
132,Fused,True
132,CSRT,True
132,KCF,True
132,MIL,True
132,BOOSTING,True
132,MEDIANFLOW,True
132,MOSSE,True
133,Fused,True
133,CSRT,True
133,KCF,True
133,MIL,True
133,BOOSTING,True
133,MEDIANFLOW,True
133,MOSSE,True
134,Fused,True
134,CSRT,True
134,KCF,True
134,MIL,True
134,BOOSTING,True
134,MEDIANFLOW,True
134,MOSSE,True
135,Fused,True
135,CSRT,True
135,KCF,True
135,MIL,True
135,BOOSTING,True
135,MEDIANFLOW,True
135,MOSSE,True
136,Fused,True
136,CSRT,True
136,KCF,True
136,MIL,True
136,BOOSTING,True
136,MEDIANFLOW,True
136,MOSSE,True
137,Fused,True
137,CSRT,True
137,KCF,True
137,MIL,True
137,BOOSTING,True
137,MEDIANFLOW,True
137,MOSSE,True
138,Fused,True
138,CSRT,True
138,KCF,True
138,MIL,True
138,BOOSTING,True
138,MEDIANFLOW,True
138,MOSSE,True
139,Fused,True
139,CSRT,True
139,KCF,True
139,MIL,True
139,BOOSTING,True
139,MEDIANFLOW,True
139,MOSSE,True
140,Fused,True
140,CSRT,True
140,KCF,True
140,MIL,True
140,BOOSTING,True
140,MEDIANFLOW,True
140,MOSSE,True
141,Fused,True
141,CSRT,True
141,KCF,True
141,MIL,True
141,BOOSTING,True
141,MEDIANFLOW,True
141,MOSSE,True
142,Fused,True
142,CSRT,True
142,KCF,True
142,MIL,True
142,BOOSTING,True
142,MEDIANFLOW,True
142,MOSSE,True
143,Fused,True
143,CSRT,True
143,KCF,True
143,MIL,True
143,BOOSTING,True
143,MEDIANFLOW,True
143,MOSSE,True
144,Fused,True
144,CSRT,True
144,KCF,True
144,MIL,True
144,BOOSTING,True
144,MEDIANFLOW,True
144,MOSSE,True
145,Fused,True
145,CSRT,True
145,KCF,True
145,MIL,True
145,BOOSTING,True
145,MEDIANFLOW,True
145,MOSSE,True
146,Fused,True
146,CSRT,True
146,KCF,True
146,MIL,True
146,BOOSTING,True
146,MEDIANFLOW,True
146,MOSSE,True
147,Fused,True
147,CSRT,True
147,KCF,True
147,MIL,True
147,BOOSTING,True
147,MEDIANFLOW,True
147,MOSSE,True
148,Fused,True
148,CSRT,True
148,KCF,True
148,MIL,True
148,BOOSTING,True
148,MEDIANFLOW,True
148,MOSSE,True
149,Fused,True
149,CSRT,True
149,KCF,True
149,MIL,True
149,BOOSTING,True
149,MEDIANFLOW,True
149,MOSSE,True
150,Fused,True
150,CSRT,True
150,KCF,True
150,MIL,True
150,BOOSTING,True
150,MEDIANFLOW,True
150,MOSSE,True
151,Fused,True
151,CSRT,True
151,KCF,True
151,MIL,True
151,BOOSTING,True
151,MEDIANFLOW,True
151,MOSSE,True
152,Fused,True
152,CSRT,True
152,KCF,True
152,MIL,True
152,BOOSTING,True
152,MEDIANFLOW,True
152,MOSSE,True
153,Fused,True
153,CSRT,True
153,KCF,True
153,MIL,True
153,BOOSTING,True
153,MEDIANFLOW,True
153,MOSSE,True
154,Fused,True
154,CSRT,True
154,KCF,True
154,MIL,True
154,BOOSTING,True
154,MEDIANFLOW,True
154,MOSSE,True
155,Fused,True
155,CSRT,True
155,KCF,True
155,MIL,True
155,BOOSTING,True
155,MEDIANFLOW,True
155,MOSSE,True
156,Fused,True
156,CSRT,True
156,KCF,True
156,MIL,True
156,BOOSTING,True
156,MEDIANFLOW,True
156,MOSSE,True
157,Fused,True
157,CSRT,True
157,KCF,True
157,MIL,True
157,BOOSTING,True
157,MEDIANFLOW,True
157,MOSSE,True
158,Fused,True
158,CSRT,True
158,KCF,True
158,MIL,True
158,BOOSTING,True
158,MEDIANFLOW,True
158,MOSSE,True
159,Fused,True
159,CSRT,True
159,KCF,True
159,MIL,True
159,BOOSTING,True
159,MEDIANFLOW,True
159,MOSSE,True
160,Fused,True
160,CSRT,True
160,KCF,True
160,MIL,True
160,BOOSTING,True
160,MEDIANFLOW,True
160,MOSSE,True
161,Fused,True
161,CSRT,True
161,KCF,True
161,MIL,True
161,BOOSTING,True
161,MEDIANFLOW,True
161,MOSSE,True
162,Fused,True
162,CSRT,True
162,KCF,True
162,MIL,True
162,BOOSTING,True
162,MEDIANFLOW,True
162,MOSSE,True
163,Fused,True
163,CSRT,True
163,KCF,True
163,MIL,True
163,BOOSTING,True
163,MEDIANFLOW,True
163,MOSSE,True
164,Fused,True
164,CSRT,True
164,KCF,True
164,MIL,True
164,BOOSTING,True
164,MEDIANFLOW,True
164,MOSSE,True
165,Fused,True
165,CSRT,True
165,KCF,True
165,MIL,True
165,BOOSTING,True
165,MEDIANFLOW,True
165,MOSSE,True
166,Fused,True
166,CSRT,True
166,KCF,True
166,MIL,True
166,BOOSTING,True
166,MEDIANFLOW,True
166,MOSSE,True
167,Fused,True
167,CSRT,True
167,KCF,True
167,MIL,True
167,BOOSTING,True
167,MEDIANFLOW,True
167,MOSSE,True
168,Fused,True
168,CSRT,True
168,KCF,True
168,MIL,True
168,BOOSTING,True
168,MEDIANFLOW,True
168,MOSSE,True
169,Fused,True
169,CSRT,True
169,KCF,True
169,MIL,True
169,BOOSTING,True
169,MEDIANFLOW,True
169,MOSSE,True
170,Fused,True
170,CSRT,True
170,KCF,True
170,MIL,True
170,BOOSTING,True
170,MEDIANFLOW,True
170,MOSSE,True
171,Fused,True
171,CSRT,True
171,KCF,True
171,MIL,True
171,BOOSTING,True
171,MEDIANFLOW,True
171,MOSSE,True
172,Fused,True
172,CSRT,True
172,KCF,True
172,MIL,True
172,BOOSTING,True
172,MEDIANFLOW,True
172,MOSSE,True
173,Fused,True
173,CSRT,True
173,KCF,True
173,MIL,True
173,BOOSTING,True
173,MEDIANFLOW,True
173,MOSSE,True
174,Fused,True
174,CSRT,True
174,KCF,True
174,MIL,True
174,BOOSTING,True
174,MEDIANFLOW,True
174,MOSSE,True
175,Fused,True
175,CSRT,True
175,KCF,True
175,MIL,True
175,BOOSTING,True
175,MEDIANFLOW,True
175,MOSSE,True
176,Fused,True
176,CSRT,True
176,KCF,True
176,MIL,True
176,BOOSTING,True
176,MEDIANFLOW,True
176,MOSSE,True
177,Fused,True
177,CSRT,True
177,KCF,True
177,MIL,True
177,BOOSTING,True
177,MEDIANFLOW,True
177,MOSSE,True
178,Fused,True
178,CSRT,True
178,KCF,True
178,MIL,True
178,BOOSTING,True
178,MEDIANFLOW,True
178,MOSSE,True
179,Fused,True
179,CSRT,True
179,KCF,True
179,MIL,True
179,BOOSTING,True
179,MEDIANFLOW,True
179,MOSSE,True
180,Fused,True
180,CSRT,True
180,KCF,True
180,MIL,True
180,BOOSTING,True
180,MEDIANFLOW,True
180,MOSSE,True
181,Fused,True
181,CSRT,True
181,KCF,True
181,MIL,True
181,BOOSTING,True
181,MEDIANFLOW,True
181,MOSSE,True
182,Fused,True
182,CSRT,True
182,KCF,True
182,MIL,True
182,BOOSTING,True
182,MEDIANFLOW,True
182,MOSSE,True
183,Fused,True
183,CSRT,True
183,KCF,True
183,MIL,True
183,BOOSTING,True
183,MEDIANFLOW,True
183,MOSSE,True
184,Fused,True
184,CSRT,True
184,KCF,True
184,MIL,True
184,BOOSTING,True
184,MEDIANFLOW,True
184,MOSSE,True
185,Fused,True
185,CSRT,True
185,KCF,True
185,MIL,True
185,BOOSTING,True
185,MEDIANFLOW,True
185,MOSSE,True
186,Fused,True
186,CSRT,True
186,KCF,True
186,MIL,True
186,BOOSTING,True
186,MEDIANFLOW,True
186,MOSSE,True
187,Fused,True
187,CSRT,True
187,KCF,True
187,MIL,True
187,BOOSTING,True
187,MEDIANFLOW,True
187,MOSSE,True
188,Fused,True
188,CSRT,True
188,KCF,True
188,MIL,True
188,BOOSTING,True
188,MEDIANFLOW,True
188,MOSSE,True
189,Fused,True
189,CSRT,True
189,KCF,True
189,MIL,True
189,BOOSTING,True
189,MEDIANFLOW,True
189,MOSSE,True
190,Fused,True
190,CSRT,True
190,KCF,True
190,MIL,True
190,BOOSTING,True
190,MEDIANFLOW,True
190,MOSSE,True
191,Fused,True
191,CSRT,True
191,KCF,True
191,MIL,True
191,BOOSTING,True
191,MEDIANFLOW,True
191,MOSSE,True
192,Fused,True
192,CSRT,True
192,KCF,True
192,MIL,True
192,BOOSTING,True
192,MEDIANFLOW,True
192,MOSSE,True
193,Fused,True
193,CSRT,True
193,KCF,True
193,MIL,True
193,BOOSTING,True
193,MEDIANFLOW,True
193,MOSSE,True
194,Fused,True
194,CSRT,True
194,KCF,True
194,MIL,True
194,BOOSTING,True
194,MEDIANFLOW,True
194,MOSSE,True
195,Fused,True
